generated_on,display_name,load_month,dlvd_price
2021-09-20 06:11:20.045,RBOB,Jan.22,-17.1
2021-09-20 06:11:20.045,RBOB,Feb.22,-29.5
2021-09-20 06:11:20.045,RBOB,Sep.21,-8.4
2021-09-20 06:26:20.045,RBOB,Oct.21,-11.4
2021-09-20 06:26:20.045,RBOB,Nov.21,-12.45
2021-09-20 06:26:20.045,RBOB,Dec.21,-14.8
2021-09-20 06:26:20.045,RBOB,Jan.22,-17.15
2021-09-20 06:26:20.045,RBOB,Feb.22,-29.55
2021-09-20 06:26:20.045,RBOB,Sep.21,-8.4
2021-09-20 06:41:20.045,RBOB,Oct.21,-11.35
2021-09-20 06:41:20.045,RBOB,Nov.21,-12.35
2021-09-20 06:41:20.045,RBOB,Dec.21,-14.7
2021-09-20 06:41:20.045,RBOB,Jan.22,-17.1
2021-09-20 06:41:20.045,RBOB,Feb.22,-29.5
2021-09-20 06:41:20.045,RBOB,Sep.21,-8.35
2021-09-20 06:56:20.045,RBOB,Oct.21,-11.35
2021-09-20 06:56:20.045,RBOB,Nov.21,-12.35
2021-09-20 06:56:20.045,RBOB,Dec.21,-14.7
2021-09-20 06:56:20.045,RBOB,Jan.22,-17.05
2021-09-20 06:56:20.045,RBOB,Feb.22,-29.45
2021-09-20 06:56:20.045,RBOB,Sep.21,-8.45
2021-09-20 07:11:20.045,RBOB,Oct.21,-11.25
2021-09-20 07:11:20.045,RBOB,Nov.21,-12.3
2021-09-20 07:11:20.045,RBOB,Dec.21,-14.7
2021-09-20 07:11:20.045,RBOB,Jan.22,-17.1
2021-09-20 07:11:20.045,RBOB,Feb.22,-29.5
2021-09-20 07:11:20.045,RBOB,Sep.21,-8.3
2021-09-20 07:26:20.049,RBOB,Oct.21,-11.1
2021-09-20 07:26:20.049,RBOB,Nov.21,-12.15
2021-09-20 07:26:20.049,RBOB,Dec.21,-14.65
2021-09-20 07:26:20.049,RBOB,Jan.22,-17.0
2021-09-20 07:26:20.049,RBOB,Feb.22,-29.4
2021-09-20 07:26:20.049,RBOB,Sep.21,-8.2
2021-09-20 07:41:20.045,RBOB,Oct.21,-11.05
2021-09-20 07:41:20.045,RBOB,Nov.21,-12.15
2021-09-20 07:41:20.045,RBOB,Dec.21,-14.6
2021-09-20 07:41:20.045,RBOB,Jan.22,-16.95
2021-09-20 07:41:20.045,RBOB,Feb.22,-29.3
2021-09-20 07:41:20.045,RBOB,Sep.21,-8.1
2021-09-20 07:56:20.045,RBOB,Oct.21,-10.95
2021-09-20 07:56:20.045,RBOB,Nov.21,-12.05
2021-09-20 07:56:20.045,RBOB,Dec.21,-14.5
2021-09-20 07:56:20.045,RBOB,Jan.22,-16.85
2021-09-20 07:56:20.045,RBOB,Feb.22,-29.25
2021-09-20 07:56:20.045,RBOB,Sep.21,-8.05
2021-09-20 08:11:20.045,RBOB,Oct.21,-11.05
2021-09-20 08:11:20.045,RBOB,Nov.21,-12.1
2021-09-20 08:11:20.045,RBOB,Dec.21,-14.5
2021-09-20 08:11:20.045,RBOB,Jan.22,-16.9
2021-09-20 08:11:20.045,RBOB,Feb.22,-29.3
2021-09-20 08:11:20.045,RBOB,Sep.21,-8.15
2021-09-20 08:26:20.045,RBOB,Oct.21,-10.9
2021-09-20 08:26:20.045,RBOB,Nov.21,-11.95
2021-09-20 08:26:20.045,RBOB,Dec.21,-14.4
2021-09-20 08:26:20.045,RBOB,Jan.22,-16.75
2021-09-20 08:26:20.045,RBOB,Feb.22,-29.25
2021-09-20 08:26:20.045,RBOB,Sep.21,-8.0
2021-09-20 08:41:20.045,RBOB,Oct.21,-10.85
2021-09-20 08:41:20.045,RBOB,Nov.21,-11.9
2021-09-20 08:41:20.045,RBOB,Dec.21,-14.35
2021-09-20 08:41:20.045,RBOB,Jan.22,-16.75
2021-09-20 08:41:20.045,RBOB,Feb.22,-29.1
2021-09-20 08:41:20.045,RBOB,Sep.21,-7.95
2021-09-20 08:56:20.045,RBOB,Oct.21,-10.85
2021-09-20 08:56:20.045,RBOB,Nov.21,-11.9
2021-09-20 08:56:20.045,RBOB,Dec.21,-14.3
2021-09-20 08:56:20.045,RBOB,Jan.22,-16.6
2021-09-20 08:56:20.045,RBOB,Feb.22,-29.1
2021-09-20 08:56:20.045,RBOB,Sep.21,-7.95
2021-09-20 09:11:20.045,RBOB,Oct.21,-10.8
2021-09-20 09:11:20.045,RBOB,Nov.21,-11.85
2021-09-20 09:11:20.045,RBOB,Dec.21,-14.2
2021-09-20 09:11:20.045,RBOB,Jan.22,-16.6
2021-09-20 09:11:20.045,RBOB,Feb.22,-29.1
2021-09-20 09:11:20.045,RBOB,Sep.21,-7.9
2021-09-20 09:26:20.045,RBOB,Oct.21,-10.7
2021-09-20 09:26:20.045,RBOB,Nov.21,-11.75
2021-09-20 09:26:20.045,RBOB,Dec.21,-14.15
2021-09-20 09:26:20.045,RBOB,Jan.22,-16.5
2021-09-20 09:26:20.045,RBOB,Feb.22,-29.0
2021-09-20 09:26:20.045,RBOB,Sep.21,-7.8
2021-09-20 09:41:20.045,RBOB,Oct.21,-10.7
2021-09-20 09:41:20.045,RBOB,Nov.21,-11.75
2021-09-20 09:41:20.045,RBOB,Dec.21,-14.2
2021-09-20 09:41:20.045,RBOB,Jan.22,-16.55
2021-09-20 09:41:20.045,RBOB,Feb.22,-29.1
2021-09-20 09:41:20.045,RBOB,Sep.21,-7.8
2021-09-20 09:56:20.045,RBOB,Oct.21,-10.8
2021-09-20 09:56:20.045,RBOB,Nov.21,-11.85
2021-09-20 09:56:20.045,RBOB,Dec.21,-14.25
2021-09-20 09:56:20.045,RBOB,Jan.22,-16.7
2021-09-20 09:56:20.045,RBOB,Feb.22,-29.15
2021-09-20 09:56:20.045,RBOB,Sep.21,-7.85
2021-09-20 10:11:20.045,RBOB,Oct.21,-10.75
2021-09-20 10:11:20.045,RBOB,Nov.21,-11.9
2021-09-20 10:11:20.045,RBOB,Dec.21,-14.35
2021-09-20 10:11:20.045,RBOB,Jan.22,-16.75
2021-09-20 10:11:20.045,RBOB,Feb.22,-29.25
2021-09-20 10:11:20.045,RBOB,Sep.21,-7.85
2021-09-20 10:26:20.045,RBOB,Oct.21,-10.65
2021-09-20 10:41:20.045,RBOB,Oct.21,-10.7
2021-09-20 10:41:20.045,RBOB,Nov.21,-11.8
2021-09-20 10:56:20.045,RBOB,Nov.21,-11.8
2021-09-20 10:56:20.045,RBOB,Dec.21,-14.25
2021-09-20 10:56:20.045,RBOB,Jan.22,-16.7
2021-09-20 10:56:20.045,RBOB,Feb.22,-29.2
2021-09-20 10:56:20.045,RBOB,Sep.21,-7.9
2021-09-20 11:11:20.045,RBOB,Oct.21,-10.75
2021-09-20 11:11:20.045,RBOB,Nov.21,-11.85
2021-09-20 11:11:20.045,RBOB,Dec.21,-14.3
2021-09-20 11:11:20.045,RBOB,Jan.22,-16.75
2021-09-20 11:11:20.045,RBOB,Feb.22,-29.2
2021-09-20 11:11:20.045,RBOB,Sep.21,-7.9
2021-09-20 11:26:20.045,RBOB,Oct.21,-10.7
2021-09-20 11:26:20.045,RBOB,Nov.21,-11.85
2021-09-20 11:26:20.045,RBOB,Dec.21,-14.3
2021-09-20 11:26:20.045,RBOB,Jan.22,-16.7
2021-09-20 11:26:20.045,RBOB,Feb.22,-29.25
2021-09-20 11:26:20.045,RBOB,Sep.21,-7.85
2021-09-20 11:41:20.045,RBOB,Oct.21,-10.95
2021-09-20 11:41:20.045,RBOB,Nov.21,-12.0
2021-09-20 11:41:20.045,RBOB,Dec.21,-14.35
2021-09-20 11:41:20.045,RBOB,Jan.22,-16.7
2021-09-20 11:41:20.045,RBOB,Feb.22,-29.3
2021-09-20 11:41:20.045,RBOB,Sep.21,-8.1
2021-09-20 11:56:20.045,RBOB,Oct.21,-10.9
2021-09-20 11:56:20.045,RBOB,Nov.21,-11.95
2021-09-20 11:56:20.045,RBOB,Dec.21,-14.4
2021-09-20 11:56:20.045,RBOB,Jan.22,-16.85
2021-09-20 11:56:20.045,RBOB,Feb.22,-29.35
2021-09-20 11:56:20.045,RBOB,Sep.21,-8.0
2021-09-20 12:11:20.045,RBOB,Oct.21,-10.75
2021-09-20 12:11:20.045,RBOB,Nov.21,-11.85
2021-09-20 12:11:20.045,RBOB,Dec.21,-14.35
2021-09-20 12:11:20.045,RBOB,Jan.22,-16.8
2021-09-20 12:11:20.045,RBOB,Feb.22,-29.35
2021-09-20 12:11:20.045,RBOB,Sep.21,-7.95
2021-09-20 12:26:20.045,RBOB,Oct.21,-10.65
2021-09-20 12:26:20.045,RBOB,Nov.21,-11.75
2021-09-20 12:26:20.045,RBOB,Dec.21,-14.25
2021-09-20 12:26:20.045,RBOB,Jan.22,-16.7
2021-09-20 12:26:20.045,RBOB,Feb.22,-29.25
2021-09-20 12:26:20.045,RBOB,Sep.21,-7.8
2021-09-20 12:53:00.000,RBOB,Oct.21,-10.9
2021-09-20 12:53:00.000,RBOB,Nov.21,-11.95
2021-09-20 12:53:00.000,RBOB,Dec.21,-14.3
2021-09-20 12:53:00.000,RBOB,Jan.22,-16.75
2021-09-20 12:53:00.000,RBOB,Feb.22,-29.15
2021-09-20 12:53:00.000,RBOB,Sep.21,-8.05
2021-09-20 13:08:10.038,RBOB,Oct.21,-10.85
2021-09-20 13:08:10.038,RBOB,Nov.21,-11.9
2021-09-20 13:08:10.038,RBOB,Dec.21,-14.3
2021-09-20 13:08:10.038,RBOB,Jan.22,-16.65
2021-09-20 13:08:10.038,RBOB,Feb.22,-29.2
2021-09-20 13:08:10.038,RBOB,Sep.21,-7.95
2021-09-20 13:23:10.037,RBOB,Oct.21,-10.65
2021-09-20 13:23:10.037,RBOB,Nov.21,-11.7
2021-09-20 13:23:10.037,RBOB,Dec.21,-14.15
2021-09-20 13:23:10.037,RBOB,Jan.22,-16.55
2021-09-20 13:23:10.037,RBOB,Feb.22,-29.1
2021-09-20 13:38:10.037,RBOB,Nov.21,-11.7
2021-09-20 14:23:10.037,RBOB,Sep.21,-7.6
2021-09-20 14:38:10.037,RBOB,Oct.21,-10.95
2021-09-20 14:38:10.037,RBOB,Nov.21,-11.9
2021-09-20 14:38:10.037,RBOB,Dec.21,-13.8
2021-09-20 14:38:10.037,RBOB,Jan.22,-16.25
2021-09-20 14:38:10.037,RBOB,Feb.22,-28.7
2021-09-20 14:38:10.037,RBOB,Sep.21,-8.3
2021-09-20 14:53:10.037,RBOB,Oct.21,-11.05
2021-09-20 14:53:10.037,RBOB,Nov.21,-11.95
2021-09-20 14:53:10.037,RBOB,Dec.21,-13.9
2021-09-20 14:53:10.037,RBOB,Jan.22,-16.3
2021-09-20 14:53:10.037,RBOB,Feb.22,-28.75
2021-09-20 14:53:10.037,RBOB,Sep.21,-8.85
2021-09-20 15:08:10.037,RBOB,Oct.21,-11.35
2021-09-20 15:08:10.037,RBOB,Nov.21,-12.1
2021-09-20 15:08:10.037,RBOB,Dec.21,-14.05
2021-09-20 15:08:10.037,RBOB,Jan.22,-16.45
2021-09-20 15:08:10.037,RBOB,Feb.22,-28.9
2021-09-20 15:08:10.037,RBOB,Sep.21,-8.95
2021-09-20 15:23:10.037,RBOB,Oct.21,-11.3
2021-09-20 15:23:10.037,RBOB,Nov.21,-12.05
2021-09-20 15:23:10.037,RBOB,Dec.21,-14.0
2021-09-20 15:23:10.037,RBOB,Jan.22,-16.45
2021-09-20 15:23:10.037,RBOB,Feb.22,-28.85
2021-09-20 15:23:10.037,RBOB,Sep.21,-8.9
2021-09-20 15:38:10.038,RBOB,Oct.21,-11.35
2021-09-20 15:38:10.038,RBOB,Nov.21,-12.15
2021-09-20 15:38:10.038,RBOB,Dec.21,-14.05
2021-09-20 15:38:10.038,RBOB,Jan.22,-16.5
2021-09-20 15:38:10.038,RBOB,Feb.22,-28.85
2021-09-20 15:38:10.038,RBOB,Sep.21,-8.95
2021-09-20 15:53:10.037,RBOB,Oct.21,-11.4
2021-09-20 15:53:10.037,RBOB,Nov.21,-12.25
2021-09-20 15:53:10.037,RBOB,Dec.21,-14.2
2021-09-20 15:53:10.037,RBOB,Jan.22,-16.65
2021-09-20 15:53:10.037,RBOB,Feb.22,-29.05
2021-09-20 15:53:10.037,RBOB,Sep.21,-8.8
2021-09-20 16:08:10.037,RBOB,Oct.21,-11.35
2021-09-20 16:08:10.037,RBOB,Nov.21,-12.25
2021-09-20 16:08:10.037,RBOB,Dec.21,-14.2
2021-09-20 16:08:10.037,RBOB,Jan.22,-16.6
2021-09-20 16:08:10.037,RBOB,Feb.22,-29.05
2021-09-20 16:08:10.037,RBOB,Sep.21,-8.8
2021-09-20 16:23:10.037,RBOB,Oct.21,-11.45
2021-09-20 16:23:10.037,RBOB,Nov.21,-12.25
2021-09-20 16:23:10.037,RBOB,Dec.21,-14.25
2021-09-20 16:23:10.037,RBOB,Jan.22,-16.65
2021-09-20 16:23:10.037,RBOB,Feb.22,-29.0
2021-09-20 16:23:10.037,RBOB,Sep.21,-8.85
2021-09-20 16:38:10.037,RBOB,Oct.21,-11.4
2021-09-20 16:38:10.037,RBOB,Nov.21,-12.25
2021-09-20 16:38:10.037,RBOB,Dec.21,-14.25
2021-09-20 16:38:10.037,RBOB,Jan.22,-16.65
2021-09-20 16:38:10.037,RBOB,Feb.22,-29.0
2021-09-20 16:38:10.037,RBOB,Sep.21,-8.8
2021-09-20 16:53:10.037,RBOB,Oct.21,-11.35
2021-09-20 16:53:10.037,RBOB,Nov.21,-12.2
2021-09-20 16:53:10.037,RBOB,Dec.21,-14.25
2021-09-20 16:53:10.037,RBOB,Jan.22,-16.65
2021-09-20 16:53:10.037,RBOB,Feb.22,-29.05
2021-09-20 16:53:10.037,RBOB,Sep.21,-8.75
2021-09-20 17:08:10.038,RBOB,Oct.21,-11.05
2021-09-20 17:08:10.038,RBOB,Nov.21,-11.9
2021-09-20 17:08:10.038,RBOB,Dec.21,-13.95
2021-09-20 17:08:10.038,RBOB,Jan.22,-16.4
2021-09-20 17:08:10.038,RBOB,Feb.22,-28.85
2021-09-20 17:08:10.038,RBOB,Sep.21,-8.5
2021-09-20 17:23:10.037,RBOB,Oct.21,-11.2
2021-09-20 17:23:10.037,RBOB,Nov.21,-12.0
2021-09-20 17:23:10.037,RBOB,Dec.21,-14.0
2021-09-20 17:23:10.037,RBOB,Jan.22,-16.45
2021-09-20 17:23:10.037,RBOB,Feb.22,-28.8
2021-09-20 17:23:10.037,RBOB,Sep.21,-8.65
2021-09-20 18:28:00.000,RBOB,Oct.21,-11.15
2021-09-20 18:28:00.000,RBOB,Nov.21,-12.05
2021-09-20 18:28:00.000,RBOB,Dec.21,-14.1
2021-09-20 18:28:00.000,RBOB,Jan.22,-16.5
2021-09-20 18:28:00.000,RBOB,Feb.22,-29.15
2021-09-20 18:28:00.000,RBOB,Sep.21,-8.55
2021-09-20 18:43:00.000,RBOB,Oct.21,-11.05
2021-09-20 18:43:00.000,RBOB,Nov.21,-11.95
2021-09-20 18:43:00.000,RBOB,Dec.21,-14.0
2021-09-20 18:43:00.000,RBOB,Jan.22,-16.5
2021-09-20 18:43:00.000,RBOB,Feb.22,-28.95
2021-09-20 18:43:00.000,RBOB,Sep.21,-8.45
2021-09-20 18:58:00.000,RBOB,Oct.21,-11.1
2021-09-20 18:58:00.000,RBOB,Nov.21,-12.0
2021-09-20 18:58:00.000,RBOB,Dec.21,-14.05
2021-09-20 18:58:00.000,RBOB,Jan.22,-16.55
2021-09-20 18:58:00.000,RBOB,Feb.22,-29.0
2021-09-20 18:58:00.000,RBOB,Sep.21,-8.55
2021-09-20 19:13:00.000,RBOB,Oct.21,-11.1
2021-09-20 19:13:00.000,RBOB,Nov.21,-12.0
2021-09-20 19:13:00.000,RBOB,Dec.21,-14.1
2021-09-20 19:13:00.000,RBOB,Jan.22,-16.55
2021-09-20 19:13:00.000,RBOB,Feb.22,-29.0
2021-09-20 19:13:00.000,RBOB,Sep.21,-8.45
2021-09-20 19:28:00.000,RBOB,Oct.21,-11.15
2021-09-20 19:28:00.000,RBOB,Nov.21,-12.05
2021-09-20 19:28:00.000,RBOB,Dec.21,-14.1
2021-09-20 19:28:00.000,RBOB,Jan.22,-16.55
2021-09-20 19:28:00.000,RBOB,Feb.22,-29.05
2021-09-20 19:28:00.000,RBOB,Sep.21,-8.55
2021-09-20 19:43:00.000,RBOB,Oct.21,-11.1
2021-09-20 19:43:00.000,RBOB,Nov.21,-12.0
2021-09-20 19:43:00.000,RBOB,Dec.21,-14.1
2021-09-20 19:43:00.000,RBOB,Jan.22,-16.55
2021-09-20 19:43:00.000,RBOB,Feb.22,-28.95
2021-09-20 19:43:00.000,RBOB,Sep.21,-8.5
2021-09-20 19:58:00.000,RBOB,Oct.21,-11.15
2021-09-20 19:58:00.000,RBOB,Nov.21,-12.05
2021-09-20 19:58:00.000,RBOB,Dec.21,-14.1
2021-09-20 19:58:00.000,RBOB,Jan.22,-16.55
2021-09-20 19:58:00.000,RBOB,Feb.22,-29.05
2021-09-20 19:58:00.000,RBOB,Sep.21,-8.5
2021-09-20 20:13:00.000,RBOB,Oct.21,-11.15
2021-09-20 20:13:00.000,RBOB,Nov.21,-12.05
2021-09-20 20:13:00.000,RBOB,Dec.21,-14.15
2021-09-20 20:13:00.000,RBOB,Jan.22,-16.6
2021-09-20 20:13:00.000,RBOB,Feb.22,-29.05
2021-09-20 20:13:00.000,RBOB,Sep.21,-8.55
2021-09-20 20:28:00.000,RBOB,Oct.21,-11.15
2021-09-20 20:28:00.000,RBOB,Nov.21,-12.1
2021-09-20 20:28:00.000,RBOB,Dec.21,-14.15
2021-09-20 20:28:00.000,RBOB,Jan.22,-16.6
2021-09-20 20:28:00.000,RBOB,Feb.22,-29.05
2021-09-20 20:28:00.000,RBOB,Sep.21,-8.55
2021-09-20 20:43:00.000,RBOB,Oct.21,-11.15
2021-09-20 20:43:00.000,RBOB,Nov.21,-12.1
2021-09-20 20:43:00.000,RBOB,Dec.21,-14.2
2021-09-20 20:43:00.000,RBOB,Jan.22,-16.65
2021-09-20 20:43:00.000,RBOB,Feb.22,-29.1
2021-09-20 20:43:00.000,RBOB,Sep.21,-8.6
2021-09-20 20:58:00.000,RBOB,Oct.21,-11.3
